serie_id,nome_serie,serie_original,nome_series_en,data_lancamento,poster,nota_omdb,nota_imdb_pt,nota_imdb_en,nota_adorocinema,nota_filmow,nota_rottentomatoes,nota_trakt,NaN_count,nota_score,streaming,studio,serie_type,data,ranking
63770,The Late Show with Stephen Colbert,The Late Show with Stephen Colbert,The Late Show with Stephen Colbert,,https://image.tmdb.org/t/p/w500/9jkThAGYj2yp8jsS6Nriy5mzKFT.jpg,"6,5","7,2",,,,"4,8","6,55832",3,"6,5",N/A,Spartina Productions,Cinema,2025-02-06,1
14509,In aller Freundschaft,In aller Freundschaft,In aller Freundschaft,,https://image.tmdb.org/t/p/w500/f8ZHSXNs5jyjMz3qg7mB2fqnTjP.jpg,7,"4,4",,,,,"5,91667",4,"6,458335",N/A,ARD Degeto,Cinema,2025-02-06,1
881,Days of Our Lives,Days of Our Lives,Days of Our Lives,,https://image.tmdb.org/t/p/w500/7Zm7epVFEovMEVLpM6FvrjhaNXn.jpg,6,"5,3",,,,,"6,90323",4,"6,451615",N/A,N/A,Cinema,2025-02-06,1
72230,Farmen Kjendis,Farmen Kjendis,Farmen Kjendis,,https://image.tmdb.org/t/p/w500/8NH1qKiyASwMCubMgha2RhPINmY.jpg,"6,7","7,8",,,,,"6,2",4,"6,45",N/A,Strix Televisjon [NO],Cinema,2025-02-06,1
32348,A League of Their Own,A League of Their Own,A League of Their Own,,https://image.tmdb.org/t/p/w500/9USFzkxTCLX12HRAitjrnxqw209.jpg,"6,9","7,3",,,,,6,4,"6,45",N/A,CPL Productions,Cinema,2025-02-06,1
245927,Paradise,Paradise,Paradise,,https://image.tmdb.org/t/p/w500/rkwqy7uE0ORdUxDFNeVq7vpJORN.jpg,8,"6,3",,"6,4",,,1,3,"6,4",Disney Plus,20th Television,Streaming,2025-02-06,1
5266,University Challenge,University Challenge,University Challenge,,https://image.tmdb.org/t/p/w500/yDLoEEFW3D6XSyT8UynTghc1Dyw.jpg,6,"6,7",,,,,"6,71429",4,"6,357145",N/A,Lifted Entertainment,Cinema,2025-02-06,1
41149,Die Rosenheim-Cops,Die Rosenheim-Cops,Die Rosenheim-Cops,,https://image.tmdb.org/t/p/w500/kAhi0xY6gIEMvHtmChC44pBwOWG.jpg,"6,4","6,1",,,,,"6,28571",4,"6,342855",N/A,Bavaria Film,Cinema,2025-02-06,1
246381,Alvo Primário,Prime Target,Prime Target,,https://image.tmdb.org/t/p/w500/xAKW7zsnfeqzZlQjVyrejrTfaJ4.jpg,"7,2",,"5,2",,,"6,8","6,341666666666667",4,"6,341666666666667",Apple TV Plus,New Regency Pictures,Streaming,2025-02-06,1
115641,Konuşanlar,Konuşanlar,Konuşanlar,,https://image.tmdb.org/t/p/w500/gTJZ9d49dLI2m1vv1Ufi3Cx7rMt.jpg,"5,941","6,3",,,,,"6,58824",4,"6,26462",N/A,HapYapım,Cinema,2025-02-06,1
32390,The Real Housewives of Beverly Hills,The Real Housewives of Beverly Hills,The Real Housewives of Beverly Hills,,https://image.tmdb.org/t/p/w500/gHZmEmtQzobW9PVdpGrYP7SU9RH.jpg,"6,3","5,5",,,,,"6,02717",4,"6,163584999999999",Netflix,Evolution Media,Streaming,2025-02-06,1
6390,Escape to the Country,Escape to the Country,Escape to the Country,,https://image.tmdb.org/t/p/w500/ykSfW3rU7Th0VvrgB85nHvQZCAN.jpg,"5,1","7,4",,,,,"7,16667",4,"6,133335",N/A,Boundless,Cinema,2025-02-06,1
